source airport,source airport id,destination apirport,destination airport id,source city,destination city,airline name,plane model,capacity
JFK,3797,EZE,3988,New York,Buenos Aires,LAN Argentina,Boeing 777,388
JFK,3797,MEX,1824,New York,Mexico City,Interjet (ABC Aerolineas),Airbus A320,158
JFK,3797,MSY,3861,New York,New Orleans,Pinnacle Airlines,Canadair Regional Jet 900,0
LGA,3697,MSY,3861,New York,New Orleans,Pinnacle Airlines,Canadair Regional Jet 900,0
JFK,3797,AMM,2170,New York,Amman,American Airlines,Airbus A340,0
JFK,3797,AMM,2170,New York,Amman,American Airlines,Airbus A330,0
JFK,3797,ANU,2874,New York,Antigua,American Airlines,Boeing 737-800,160
JFK,3797,AUH,2179,New York,Abu Dhabi,American Airlines,Boeing 777,388
JFK,3797,AUS,3673,New York,Austin,American Airlines,Boeing 737-800,160
JFK,3797,BCN,1218,New York,Barcelona,American Airlines,Boeing 767-300,148
JFK,3797,BDA,4069,New York,Bermuda,American Airlines,Boeing 737-800,160
JFK,3797,BNA,3690,New York,Nashville,American Airlines,Embraer RJ145,0
JFK,3797,BOS,3448,New York,Boston,American Airlines,Boeing 737-800,160
JFK,3797,BWI,3849,New York,Baltimore,American Airlines,Embraer RJ145,0
JFK,3797,CCS,2851,New York,Caracas,American Airlines,Boeing 757,0
JFK,3797,CCS,2851,New York,Caracas,American Airlines,Boeing 737-800,160
JFK,3797,CDG,1382,New York,Paris,American Airlines,Boeing 767-300,148
JFK,3797,CDG,1382,New York,Paris,American Airlines,Boeing 757,0
JFK,3797,CLE,3486,New York,Cleveland,American Airlines,Embraer RJ145,0
JFK,3797,CLT,3876,New York,Charlotte,American Airlines,Airbus A321,192
JFK,3797,CLT,3876,New York,Charlotte,American Airlines,Airbus A319,132
JFK,3797,CMH,3759,New York,Columbus,American Airlines,Embraer RJ145,0
JFK,3797,CMH,3759,New York,Columbus,American Airlines,Canadair Regional Jet 700,0
JFK,3797,CUN,1852,New York,Cancun,American Airlines,Boeing 737-800,160
JFK,3797,CVG,3488,New York,Cincinnati,American Airlines,Embraer RJ145,0
JFK,3797,DCA,3520,New York,Washington,American Airlines,Boeing 737-800,160
JFK,3797,DFW,3670,New York,Dallas-Fort Worth,American Airlines,Boeing 737-800,160
JFK,3797,DFW,3670,New York,Dallas-Fort Worth,American Airlines,Boeing 757,0
JFK,3797,DOH,11051,New York,Doha,American Airlines,Boeing 777,388
JFK,3797,DUB,599,New York,Dublin,American Airlines,Boeing 757,0
JFK,3797,DUS,345,New York,Duesseldorf,American Airlines,Airbus A330,0
JFK,3797,EZE,3988,New York,Buenos Aires,American Airlines,Boeing 777,388
JFK,3797,FCO,1555,New York,Rome,American Airlines,Boeing 767-300,148
JFK,3797,GIG,2560,New York,Rio De Janeiro,American Airlines,Boeing 767-300,148
JFK,3797,GRU,2564,New York,Sao Paulo,American Airlines,Boeing 777-300,350
JFK,3797,GRU,2564,New York,Sao Paulo,American Airlines,Boeing 777-300ER,396
JFK,3797,GRU,2564,New York,Sao Paulo,American Airlines,Boeing 777,388
JFK,3797,GYE,2673,New York,Guayaquil,American Airlines,Boeing 767-300,148
JFK,3797,HEL,421,New York,Helsinki,American Airlines,Airbus A330,0
JFK,3797,HKG,3077,New York,Hong Kong,American Airlines,Boeing 777-300,350
JFK,3797,IND,3585,New York,Indianapolis,American Airlines,Embraer RJ145,0
JFK,3797,LAS,3877,New York,Las Vegas,American Airlines,Boeing 737-800,160
JFK,3797,LAX,3484,New York,Los Angeles,American Airlines,Boeing 767-200,290
JFK,3797,LCY,503,New York,London,American Airlines,Airbus A318,132
JFK,3797,LHR,507,New York,London,American Airlines,Boeing 777,388
JFK,3797,LHR,507,New York,London,American Airlines,Boeing 777-300ER,396
JFK,3797,LIM,2789,New York,Lima,American Airlines,Boeing 767-300,148
JFK,3797,MAD,1229,New York,Madrid,American Airlines,Airbus A330,0
JFK,3797,MAD,1229,New York,Madrid,American Airlines,Boeing 757,0
JFK,3797,MAD,1229,New York,Madrid,American Airlines,Airbus A340,0
JFK,3797,MAN,478,New York,Manchester,American Airlines,Boeing 757,0
JFK,3797,MCO,3878,New York,Orlando,American Airlines,Boeing 767-300,148
JFK,3797,MCO,3878,New York,Orlando,American Airlines,Boeing 757,0
JFK,3797,MIA,3576,New York,Miami,American Airlines,Boeing 757,0
JFK,3797,MIA,3576,New York,Miami,American Airlines,Boeing 767-300,148
JFK,3797,MIA,3576,New York,Miami,American Airlines,Boeing 737-800,160
JFK,3797,MXP,1524,New York,Milano,American Airlines,Boeing 767-300,148
JFK,3797,NRT,2279,New York,Tokyo,American Airlines,Boeing 787,0
JFK,3797,NRT,2279,New York,Tokyo,American Airlines,Boeing 777-300,350
JFK,3797,ORD,3830,New York,Chicago,American Airlines,Boeing 737-800,160
JFK,3797,ORF,3611,New York,Norfolk,American Airlines,Embraer RJ145,0
JFK,3797,ORY,1386,New York,Paris,American Airlines,Boeing 757,0
