aircraft,IATA,ICAO,capacity
Aerospatiale (Nord) 262,ND2,N262,29
Aerospatiale (Sud Aviation) Se.210 Caravelle,CRV,S210,140
Aerospatiale SN.601 Corvette,NDC,S601,16
Aerospatiale/Alenia ATR 42-300,AT4,AT43,48
Aerospatiale/Alenia ATR 42-500,AT5,AT45,50
Aerospatiale/Alenia ATR 42-600,ATR,AT46,50
Aerospatiale/Alenia ATR 72,AT7,AT72,42
Airbus A300,AB3,A30B,266
Airbus A300-600,AB6,A306,250
Airbus A300-600ST Super Transporter / Beluga,ABB,A3ST,880
Airbus A310,310,A310,230
Airbus A318,318,A318,110
Airbus A319,319,A319,132
Airbus A319neo,31N,A19N,156
Airbus A320,320,A320,158
Airbus A320neo,32N,A20N,194
Airbus A321,321,A321,192
Airbus A321neo,32Q,A21N,196
Airbus A330,330,\N,250
Airbus A330-200,332,A332,234
Airbus A330-300,333,A333,293
Airbus A330-900neo,339,A339,281
Airbus A340,340,\N,370
Airbus A340-300,343,A343,290
Airbus A340-500,345,A345,350
Airbus A340-600,346,A346,370
Airbus A350-900,359,A359,306
Airbus A380-800,388,A388,853
Boeing 707,703,B703,200
Boeing 717,717,B712,117
Boeing 720B,B72,B720,156
Boeing 727,727,\N,189
Boeing 727-100,721,B721,131
Boeing 727-200,722,B722,189
Boeing 737,737,\N,188
Boeing 737 MAX 10,7MJ,\N,230
Boeing 737 MAX 7,7M7,B37M,172
Boeing 737 MAX 8,7M8,B38M,189
Boeing 737 MAX 9,7M9,B39M,220
Boeing 737-200,732,B732,119
Boeing 737-300,733,B733,149
Boeing 737-400,734,B734,188
Boeing 737-500,735,B735,120
Boeing 737-600,736,B736,113
Boeing 737-700,73G,B737,124
Boeing 737-800,738,B738,160
Boeing 737-900,739,B739,175
Boeing 747,747,\N,467
Boeing 747 LCF Dreamlifter,74B,BLCF,1000
Boeing 747-100,741,B741,539
Boeing 747-200,742,B742,480
Boeing 747-300,743,B743,660
Boeing 747-400,744,B744,660
Boeing 747-400D,74J,B74D,660
Boeing 747-8,748,B748,467
Boeing 747SP,74L,B74S,400
Boeing 747SR,74R,B74R,550
Boeing 757,757,\N,295
Boeing 757-200,752,B752,162
Boeing 757-300,753,B753,232
Boeing 767,767,\N,269
Boeing 767-200,762,B762,216
Boeing 767-300,763,B763,351
Boeing 767-400,764,B764,375
Boeing 777,777,\N,388
Boeing 777-200,772,B772,308
Boeing 777-200LR,77L,B77L,292
Boeing 777-300,773,B773,350
Boeing 777-300ER,77W,B77W,386
Boeing 777-8,778,B778,395
Boeing 777-9,779,B779,425
Boeing 787,787,\N,335
Boeing 787-10,78J,B78X,344
Boeing 787-8,788,B788,231
Boeing 787-9,789,B789,254
Bombardier BD-100 Challenger 300,\N,CL30,16
Bombardier CS100,CS1,BCS1,135
Bombardier CS300,CS3,BCS3,145
Bombardier Global Express,CCX,GLEX,17
British Aerospace (BAC) One Eleven,B11,BA11,119
British Aerospace 125 series / Hawker/Raytheon 700/800/800XP/850/900,H25,H25B,10
British Aerospace 125-1000 series / Hawker/Raytheon 1000,H25,H25C,15
British Aerospace ATP,ATP,ATP,72
British Aerospace Jetstream 31,J31,JS31,12
British Aerospace Jetstream 32,J32,JS32,19
British Aerospace Jetstream 41,J41,JS41,29
Canadair Challenger,CCJ,CL60,12
Canadair CL-44,CL4,CL44,160
Canadair Regional Jet 100,CR1,CRJ1,50
Canadair Regional Jet 1000,CRK,CRJX,104
Canadair Regional Jet 200,CR2,CRJ2,52
Canadair Regional Jet 700,CR7,CRJ7,78
Canadair Regional Jet 900,CR9,CRJ9,90
Cessna 152,\N,C152,2
Cessna 172,CN1,C172,4
Cessna 182 Skylane,CN1,C182,4
Cessna 208 Caravan,CN1,C208,14
Cessna 210 Centurion,CN1,C210,6
Cessna Citation CJ3,CNJ,C25B,8
Cessna Citation CJ4,CNJ,C25C,9
Cessna Citation Excel,CNJ,C56X,10
Cessna Citation I,CNJ,C500,12
Cessna Citation II,CNJ,C550,10
Cessna Citation Mustang,CNJ,C510,5
Cessna Citation Sovereign,CNJ,C680,11
Cessna Citation X,CNJ,C750,8
COMAC C-919,\N,C919,192
Concorde,SSC,CONC,100
Dassault Falcon 2000,D20,F2TH,12
Dassault Falcon 50,DF3,FA50,10
Dassault Falcon 7X,DF7,FA7X,14
Dassault Falcon 900,DF9,F900,12
De Havilland Canada DHC-2 Beaver,DHP,DHC2,6
De Havilland Canada DHC-2 Turbo-Beaver,DHR,DH2T,9
De Havilland Canada DHC-3 Otter,DHL,DHC3,10
De Havilland Canada DHC-4 Caribou,DHC,DHC4,32
De Havilland Canada DHC-6 Twin Otter,DHT,DHC6,20
De Havilland Canada DHC-7 Dash 7,DH7,DHC7,48
De Havilland Canada DHC-8-100 Dash 8 / 8Q,DH1,DH8A,78
De Havilland Canada DHC-8-200 Dash 8 / 8Q,DH2,DH8B,37
De Havilland Canada DHC-8-300 Dash 8,DH3,DH8C,56
De Havilland Canada DHC-8-400 Dash 8Q,DH4,DH8D,78
De Havilland DH.104 Dove,DHD,DOVE,11
De Havilland DH.114 Heron,DHH,HERN,17
Douglas DC-10,D10,DC10,380
Douglas DC-3,D3F,DC3,28
Douglas DC-6,D6F,DC6,68
Douglas DC-8-50,D8T,DC85,220
Douglas DC-8-62,D8L,DC86,189
Douglas DC-8-72,D8Q,DC87,189
Douglas DC-9-10,D91,DC91,90
Douglas DC-9-20,D92,DC92,135
Douglas DC-9-30,D93,DC93,90
Douglas DC-9-40,D94,DC94,125
Douglas DC-9-50,D95,DC95,139
Embraer 170,E70,E170,70
Embraer 175,E75,\N,76
Embraer 175 (long wing),E7W,E75L,82
Embraer 175 (short wing),E7W,E75S,78
Embraer 190,E90,E190,100
Embraer 195,E95,E195,132
Embraer E190-E2,290,E290,120
Embraer E195-E2,295,E295,132
Embraer EMB 110 Bandeirante,EMB,E110,21
